id,Name,latitude,longitude
209,Docklands,-37.81852755,144.9459143
210,Alexandra Gardens,-37.82085534,144.9731187
211,Promotional Spaces,-37.82105703,144.9620221
212,Fitzroy Gardens,-37.81071693,144.9800734
213,Docklands,-37.82080116,144.9467114
214,Kings Domain,-37.82511501,144.9760671
215,Other Park Locations,-37.79315161,144.9740936
216,Other Park Locations,-37.81282565,144.9890911
217,Alexandra Gardens,-37.82043882,144.9721767
218,Alexandra Gardens,-37.82000846,144.9694113
219,Treasury Gardens,-37.81495896,144.9760042
220,Fitzroy Gardens,-37.8132522,144.9822494
221,Flagstaff Gardens,-37.81054114,144.9543185
222,Other Park Locations,-37.82575943,144.9685429
223,Other Park Locations,-37.80099817,144.9602987
224,Other Park Locations,-37.82664252,144.9552493
